,Time,ISO2_code,Population
0,1970,BI,3487370
1,1971,BI,3573495
2,1972,BI,3661084
3,1973,BI,3573171
4,1974,BI,3650811
5,1975,BI,3756370
6,1976,BI,3836854
7,1977,BI,3928398
8,1978,BI,4038767
9,1979,BI,4161908
10,1980,BI,4245151
11,1981,BI,4522260
12,1982,BI,4609768
13,1983,BI,4753012
14,1984,BI,4864043
15,1985,BI,4988887
16,1986,BI,5079198
17,1987,BI,5179631
18,1988,BI,5315942
19,1989,BI,5414711
20,1990,BI,5528701
21,1991,BI,5645404
22,1992,BI,5762310
23,1993,BI,5954503
24,1994,BI,5399183
25,1995,BI,6028524
26,1996,BI,6104108
27,1997,BI,6036903
28,1998,BI,6103181
29,1999,BI,6271035
30,2000,BI,6403276
31,2001,BI,6537111
32,2002,BI,6731619
33,2003,BI,6916646
34,2004,BI,7169663
35,2005,BI,7451649
36,2006,BI,7722949
37,2007,BI,8008144
38,2008,BI,8315603
39,2009,BI,8695670
40,2010,BI,9199621
41,2011,BI,9553268
42,2012,BI,9882688
43,2013,BI,10259367
44,2014,BI,10619314
45,2015,BI,10980257
46,2016,BI,11114903
47,2017,BI,11363999
48,2018,BI,11649525
49,2019,BI,12069367
50,2020,BI,12441306
51,2021,BI,12792766
52,2022,BI,13138197
53,2023,BI,13503998
54,2024,BI,13874901
55,1970,KM,240476
56,1971,KM,247893
57,1972,KM,255837
58,1973,KM,264316
59,1974,KM,273323
60,1975,KM,282827
61,1976,KM,292558
62,1977,KM,302518
63,1978,KM,312639
64,1979,KM,322737
65,1980,KM,332845
66,1981,KM,342597
67,1982,KM,352168
68,1983,KM,362110
69,1984,KM,372356
70,1985,KM,382917
71,1986,KM,393787
72,1987,KM,404849
73,1988,KM,416029
74,1989,KM,427344
75,1990,KM,438862
76,1991,KM,450331
77,1992,KM,460781
78,1993,KM,469444
79,1994,KM,477920
80,1995,KM,486365
81,1996,KM,494807
82,1997,KM,503407
83,1998,KM,512148
84,1999,KM,521047
85,2000,KM,530726
86,2001,KM,541433
87,2002,KM,553007
88,2003,KM,564840
89,2004,KM,574755
90,2005,KM,586653
91,2006,KM,598701
92,2007,KM,610805
93,2008,KM,623048
94,2009,KM,635566
95,2010,KM,648329
96,2011,KM,661343
97,2012,KM,674769
98,2013,KM,688490
99,2014,KM,703895
100,2015,KM,719110
101,2016,KM,734254
102,2017,KM,749228
103,2018,KM,764111
104,2019,KM,779069
105,2020,KM,794087
106,2021,KM,810240
107,2022,KM,826109
108,2023,KM,842267
109,2024,KM,858507
110,1970,DJ,140547
111,1971,DJ,149803
112,1972,DJ,160469
113,1973,DJ,172044
114,1974,DJ,184854
115,1975,DJ,200373
116,1976,DJ,219443
117,1977,DJ,242031
118,1978,DJ,267195
119,1979,DJ,292868
120,1980,DJ,316158
121,1981,DJ,335472
122,1982,DJ,350622
123,1983,DJ,363138
124,1984,DJ,375968
125,1985,DJ,392138
126,1986,DJ,413236
127,1987,DJ,439447
128,1988,DJ,469350
129,1989,DJ,499696
130,1990,DJ,547014
131,1991,DJ,612063
132,1992,DJ,650121
133,1993,DJ,601898
134,1994,DJ,626593
135,1995,DJ,626827
136,1996,DJ,639321
137,1997,DJ,657375
138,1998,DJ,686260
139,1999,DJ,712444
140,2000,DJ,735992
141,2001,DJ,758645
142,2002,DJ,783981
143,2003,DJ,807167
144,2004,DJ,819871
145,2005,DJ,832376
146,2006,DJ,845958
147,2007,DJ,865570
148,2008,DJ,883485
149,2009,DJ,901982
150,2010,DJ,921072
151,2011,DJ,939431
152,2012,DJ,957684
153,2013,DJ,975811
154,2014,DJ,993838
155,2015,DJ,1011597
156,2016,DJ,1029029
157,2017,DJ,1046277
158,2018,DJ,1063404
159,2019,DJ,1080360
160,2020,DJ,1097058
161,2021,DJ,1113319
162,2022,DJ,1129177
163,2023,DJ,1145015
164,2024,DJ,1160872
165,1970,ER,1227372
166,1971,ER,1259534
167,1972,ER,1292774
168,1973,ER,1325695
169,1974,ER,1359644
170,1975,ER,1391732
171,1976,ER,1424688
172,1977,ER,1462926
173,1978,ER,1502204
174,1979,ER,1542552
175,1980,ER,1584111
176,1981,ER,1627484
177,1982,ER,1672395
178,1983,ER,1718527
179,1984,ER,1753794
180,1985,ER,1789667
181,1986,ER,1825966
182,1987,ER,1864362
183,1988,ER,1912976
184,1989,ER,1963533
185,1990,ER,2010501
186,1991,ER,2054973
187,1992,ER,1784168
188,1993,ER,1813328
189,1994,ER,1898685
190,1995,ER,1929145
191,1996,ER,2121389
192,1997,ER,2135539
193,1998,ER,2168730
194,1999,ER,2192107
195,2000,ER,2233454
196,2001,ER,2260608
197,2002,ER,2363549
198,2003,ER,2422407
199,2004,ER,2565399
200,2005,ER,2631168
201,2006,ER,2691261
202,2007,ER,2715743
203,2008,ER,2770702
204,2009,ER,2861953
205,2010,ER,2913817
206,2011,ER,2976556
207,2012,ER,3020414
208,2013,ER,3053563
209,2014,ER,3095158
210,2015,ER,3095187
211,2016,ER,3115905
212,2017,ER,3133491
213,2018,ER,3167203
214,2019,ER,3218318
215,2020,ER,3262070
216,2021,ER,3320471
217,2022,ER,3379895
218,2023,ER,3438999
219,2024,ER,3501780
220,1970,ET,27444423
221,1971,ET,28213833
222,1972,ET,28986379
223,1973,ET,29762838
224,1974,ET,30570732
225,1975,ET,31343814
226,1976,ET,32102691
227,1977,ET,32966146
228,1978,ET,33368398
229,1979,ET,34100787
230,1980,ET,34376517
231,1981,ET,34480512
232,1982,ET,36127512
233,1983,ET,37275068
234,1984,ET,38206566
235,1985,ET,39264878
236,1986,ET,40419394
237,1987,ET,41655917
238,1988,ET,43264162
239,1989,ET,45037489
240,1990,ET,46721892
241,1991,ET,48497617
242,1992,ET,50936779
243,1993,ET,52770716
244,1994,ET,54647067
245,1995,ET,56575949
246,1996,ET,58498721
247,1997,ET,60436550
248,1998,ET,62372527
249,1999,ET,64354521
250,2000,ET,66394600
251,2001,ET,68428387
252,2002,ET,70547137
253,2003,ET,72723897
254,2004,ET,74941429
255,2005,ET,77212983
256,2006,ET,79521958
257,2007,ET,81885022
258,2008,ET,84321413
259,2009,ET,86765923
260,2010,ET,89249350
261,2011,ET,91827677
262,2012,ET,94472263
263,2013,ET,97125271
264,2014,ET,99752231
265,2015,ET,102478988
266,2016,ET,105255281
267,2017,ET,108181043
268,2018,ET,111151919
269,2019,ET,114176386
270,2020,ET,117298379
271,2021,ET,120536964
272,2022,ET,123740213
273,2023,ET,127028360
274,2024,ET,130355024
275,1970,KE,11153789
276,1971,KE,11583794
277,1972,KE,11994014
278,1973,KE,12418107
279,1974,KE,12851563
280,1975,KE,13288593
281,1976,KE,13734748
282,1977,KE,14180498
283,1978,KE,14677140
284,1979,KE,15191111
285,1980,KE,15730221
286,1981,KE,16306697
287,1982,KE,16896318
288,1983,KE,17516032
289,1984,KE,18176715
290,1985,KE,18853097
291,1986,KE,19550438
292,1987,KE,20252854
293,1988,KE,20979339
294,1989,KE,21733099
295,1990,KE,22503769
296,1991,KE,23281534
297,1992,KE,24011493
298,1993,KE,24753426
299,1994,KE,25480950
300,1995,KE,26233310
301,1996,KE,26970193
302,1997,KE,27718229
303,1998,KE,28485306
304,1999,KE,29290809
305,2000,KE,30176006
306,2001,KE,31109774
307,2002,KE,32128566
308,2003,KE,33131051
309,2004,KE,34173395
310,2005,KE,35253516
311,2006,KE,36339452
312,2007,KE,37468564
313,2008,KE,38604135
314,2009,KE,39808568
315,2010,KE,41009214
316,2011,KE,42187919
317,2012,KE,43329003
318,2013,KE,44447603
319,2014,KE,45525978
320,2015,KE,46576903
321,2016,KE,47600149
322,2017,KE,48679225
323,2018,KE,49716306
324,2019,KE,50697909
325,2020,KE,51707746
326,2021,KE,52726921
327,2022,KE,53711410
328,2023,KE,54793511
329,2024,KE,55884494
330,1970,MG,6575885
331,1971,MG,6768121
332,1972,MG,6969615
333,1973,MG,7179180
334,1974,MG,7396917
335,1975,MG,7622535
336,1976,MG,7856137
337,1977,MG,8097524
338,1978,MG,8346956
339,1979,MG,8604772
340,1980,MG,8870389
341,1981,MG,9141676
342,1982,MG,9416345
343,1983,MG,9698996
344,1984,MG,9987093
345,1985,MG,10282008
346,1986,MG,10584277
347,1987,MG,10889437
348,1988,MG,11205146
349,1989,MG,11533779
350,1990,MG,11876218
351,1991,MG,12235060
352,1992,MG,12607764
353,1993,MG,12993975
354,1994,MG,13400716
355,1995,MG,13826984
356,1996,MG,14275567
357,1997,MG,14745856
358,1998,MG,15235771
359,1999,MG,15742958
360,2000,MG,16258054
361,2001,MG,16774622
362,2002,MG,17291256
363,2003,MG,17808570
364,2004,MG,18335137
365,2005,MG,18878079
366,2006,MG,19441334
367,2007,MG,20020484
368,2008,MG,20616682
369,2009,MG,21230999
370,2010,MG,21863560
371,2011,MG,22503121
372,2012,MG,23141478
373,2013,MG,23783398
374,2014,MG,24435183
375,2015,MG,25093513
376,2016,MG,25759892
377,2017,MG,26440012
378,2018,MG,27136737
379,2019,MG,27853115
380,2020,MG,28585993
381,2021,MG,29321120
382,2022,MG,30061046
383,2023,MG,30813475
384,2024,MG,31578390
385,1970,MW,4576609
386,1971,MW,4691279
387,1972,MW,4811589
388,1973,MW,4937360
389,1974,MW,5070515
390,1975,MW,5212160
391,1976,MW,5362573
392,1977,MW,5524195
393,1978,MW,5705771
394,1979,MW,5914492
395,1980,MW,6143006
396,1981,MW,6388052
397,1982,MW,6644857
398,1983,MW,6912901
399,1984,MW,7190518
400,1985,MW,7475101
401,1986,MW,7765916
402,1987,MW,8047044
403,1988,MW,8539304
404,1989,MW,8967219
405,1990,MW,9385222
406,1991,MW,9706482
407,1992,MW,9981971
408,1993,MW,10288187
409,1994,MW,10279861
410,1995,MW,10049927
411,1996,MW,10250307
412,1997,MW,10454148
413,1998,MW,10669922
414,1999,MW,10915830
415,2000,MW,11179778
416,2001,MW,11452106
417,2002,MW,11734011
418,2003,MW,12026869
419,2004,MW,12336279
420,2005,MW,12665195
421,2006,MW,13014868
422,2007,MW,13382533
423,2008,MW,13770153
424,2009,MW,14182682
425,2010,MW,14608894
426,2011,MW,15044032
427,2012,MW,15486013
