,year,name,christian,islam,buddhist,nonrelig,judaism,other,pop
0,1980,AAB,53150,600,0,0,0,9250,63000
1,1985,AAB,52750,0,0,0,0,11250,64000
2,1990,AAB,47650,300,0,1946,0,9459,59355
3,1995,AAB,52032,287,0,2831,0,6459,61609
4,2000,AAB,56415,274,0,3716,0,3458,63863
5,2005,AAB,67920,137,0,4421,0,10522,83000
6,2010,AAB,79425,0,0,5127,0,2348,86900
7,1945,AFG,210,8391998,1926,347,642,53877,8449000
8,1950,AFG,550,8910175,2195,0,549,44531,8958000
9,1955,AFG,2418,9658503,2501,0,469,70109,9734000
10,1960,AFG,4285,10537389,2807,1187,389,228943,10775000
11,1965,AFG,6153,11825320,3113,1506,308,234600,12071000
12,1970,AFG,8020,13477012,3419,1825,228,132496,13623000
13,1975,AFG,7765,14021540,3607,922680,204,422204,15378000
14,1980,AFG,7510,16771500,2700,115787,179,402324,17300000
15,1985,AFG,7255,15070645,2700,88000,155,350245,15519000
16,1990,AFG,7000,15295070,4169,102000,130,345631,15754000
17,1995,AFG,6609,19026255,4357,104000,66,519713,19661000
18,2000,AFG,6219,22162133,4544,125000,0,422104,22720000
19,2005,AFG,24955,25497000,4012,135000,0,339033,26000000
20,2010,AFG,7287,26880000,2500,55000,0,55213,27000000
21,1945,ALB,375404,744990,0,301,589,716,1122000
22,1950,ALB,410000,799500,0,4997,501,2,1215000
23,1955,ALB,434972,857998,0,82740,426,2864,1379000
24,1960,ALB,452338,916497,0,241650,351,164,1611000
25,1965,ALB,499003,974995,0,392700,275,3027,1870000
26,1970,ALB,589599,1033493,0,512640,200,68,2136000
27,1975,ALB,701151,1091992,0,607600,255,2,2401000
28,1980,ALB,814313,1150490,0,702720,310,2167,2670000
29,1985,ALB,881265,1271510,0,797760,307,6158,2957000
30,1990,ALB,976398,1367520,0,892800,305,18977,3256000
31,1995,ALB,1049187,1948860,0,604338,302,6313,3609000
32,2000,ALB,715990,2051467,0,340000,300,5243,3113000
33,2005,ALB,837479,1931812,0,345200,299,27210,3142000
34,2010,ALB,685221,2013180,0,481586,0,15538,3195525
35,1965,ALG,484138,10770700,0,0,25000,643162,11923000
36,1970,ALG,108745,13611705,0,0,500,25050,13746000
37,1975,ALG,93527,15861508,0,3500,275,59190,16018000
38,1980,ALG,78312,18479340,0,7000,50,101298,18666000
39,1985,ALG,62710,21631500,0,0,0,155790,21850000
40,1990,ALG,128400,24146000,0,720000,600,27000,25022000
41,1995,ALG,9000,27208500,0,0,0,842500,28060000
42,2000,ALG,4455,30865165,0,188826,566,411988,31471000
43,2005,ALG,263248,32576940,0,0,526,65286,32906000
44,2010,ALG,285330,35309660,0,0,0,71334,35666324
45,1995,AND,62680,448,0,4298,257,317,68000
46,2000,AND,72946,500,0,4488,0,66,78000
47,2005,AND,74445,400,0,4100,0,55,79000
48,2010,AND,77546,769,0,6807,0,378,85500
49,1975,ANG,5287242,24418,655,20000,0,790685,6123000
50,1980,ANG,6252750,46836,728,30000,0,688686,7019000
51,1985,ANG,7285380,69254,809,45000,0,602557,8003000
52,1990,ANG,9307500,91671,900,60000,0,559929,10020000
53,1995,ANG,9875230,114089,1000,86599,0,739082,10816000
54,2000,ANG,10839535,130000,1101,250000,0,1657364,12878000
55,2005,ANG,15029280,175000,1200,267000,0,1145520,16618000
56,2010,ANG,17034849,198750,1634,342000,0,1536943,19114176
57,1945,ARG,15150266,0,0,0,249660,74,15400000
58,1950,ARG,16191000,18764,0,239949,249000,451287,17150000
59,1955,ARG,18155042,0,0,0,0,1805958,19961000
60,1960,ARG,19623840,0,0,0,400000,592160,20616000
61,1965,ARG,21420596,2500,5000,55000,437500,362404,22283000
62,1970,ARG,23217353,5000,10000,110000,475000,145647,23963000
63,1975,ARG,25007040,7500,5000,120000,520980,388480,26049000
64,1980,ARG,26417319,19000,3666,96666,557460,999889,28094000
65,1985,ARG,28044812,0,0,250000,603106,1407082,30305000
66,1990,ARG,29470753,0,0,750000,620873,1685374,32527000
67,1995,ARG,31986560,0,0,870000,695360,1216080,34768000
68,2000,ARG,33280506,555480,5985,1451847,296256,1441926,37032000
69,2005,ARG,32627326,600000,6912,4631040,425000,301722,38592000
70,2010,ARG,34400709,611000,7236,4847999,275000,258048,40399992
71,1995,ARM,3288527,8316,210,459000,706,2241,3759000
72,2000,ARM,3416610,750,0,60000,821,41819,3520000
73,2005,ARM,3054651,850,0,110000,599,51900,3218000
74,2010,ARM,3086654,1000,0,112300,565,45262,3245781
75,1945,AUL,7079273,16499,9543,213616,25298,47771,7392000
76,1950,AUL,7804437,17994,9978,280376,35006,31209,8179000
77,1955,AUL,8723353,19624,10432,368000,48439,30152,9200000
78,1960,AUL,9747250,21254,10886,411000,52762,31848,10275000
79,1965,AUL,10696019,22884,11340,569400,57086,31271,11388000
80,1970,AUL,11624696,24514,11794,747865,61409,36722,12507000
81,1975,AUL,12364770,27257,11897,1302332,138930,47814,13893000
82,1980,AUL,12732700,30000,12000,1756800,75400,88100,14695000
