Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.559229,8244.04566,10056.26139,11507.21715,12187.53636,13233.99052,13892.60514,14700.95981,16055.28779,16548.71739,16620.95456,17750.00956,18828.08706,19216.19724,20681.02303,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062,
Africa Eastern and Southern,AFE,186.1218347,186.9417814,197.4024024,225.4404936,208.9997481,226.8765126,240.9552324,243.8173234,257.1900816,281.6292767,276.7820598,294.8661494,311.5190188,389.7969721,463.5497901,479.1621647,468.8563309,518.4506129,571.7202675,634.5618941,773.4394541,777.8331104,725.7281162,732.5887235,650.5635196,554.4391465,578.6039565,665.1197565,704.4662217,728.5493366,822.7938675,864.5638653,733.2438556,709.6592549,701.0415515,766.8205908,747.0696739,767.6841922,697.3526716,670.6978292,707.1203777,626.1691498,625.9988162,809.9681405,981.7446316,1115.713957,1220.002469,1362.310652,1421.118613,1386.59025,1601.727651,1735.584923,1702.9691,1673.221102,1656.167709,1479.61526,1329.807285,1520.212231,1538.901679,1493.817938,1344.10321,1522.393346,1628.318944,1568.159891,1673.841139
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9309914,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,413.7578947,
Africa Western and Central,AFW,121.9399254,127.4541888,133.8270443,139.0082913,148.5493788,155.5652162,162.1107677,144.9434796,146.1891669,161.9214066,218.6762927,195.8620037,230.0707872,280.6493042,368.301914,413.3714482,480.4526553,490.8477665,523.7880964,624.8782974,757.0755553,1324.54659,1162.130676,872.8326785,737.6748878,753.7997554,581.3907128,581.5238024,560.3805816,509.3267336,590.321435,603.8789102,563.3100794,570.8886382,577.5487394,863.9505706,1065.683499,1088.996805,1137.744496,521.3647343,516.9323163,530.6531678,616.7960326,694.5009376,840.2520851,1001.604607,1236.628127,1407.642058,1668.841082,1454.728331,1663.966937,1844.198595,1941.369556,2131.662067,2221.010665,1860.727694,1630.039447,1574.23056,1720.14028,1798.340685,1680.039332,1765.954788,1796.668633,1599.392983,1284.154441
Angola,AGO,,,,,,,,,,,,,,,,,,,,,729.1119655,657.9826485,634.2214673,636.832811,650.4910944,772.4688326,697.5266024,770.1011401,807.4396284,907.7478931,965.8668405,881.9194881,668.7060175,449.7278949,334.9735903,404.2948185,531.1153665,521.7029149,429.1881269,392.725539,563.7337956,533.5862024,882.1478472,992.6989793,1266.210864,1916.468422,2617.05196,3141.04598,4103.0669,3136.64547,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2309.53413,2122.08369
Albania,ALB,,,,,,,,,,,,,,,,,,,,,590.6077384,663.2942083,668.4545042,661.5467824,639.4847302,639.8659038,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,911.3204654,1020.976181,728.5455237,831.1753441,1056.344812,1160.420471,1326.416524,1479.838846,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699,4465.709143,4222.347099,4420.23462,4602.230514,3981.726623,4168.375445,4614.047969,5365.488802,5460.430509,5370.7775,6413.282808,6846.426694,8575.171346,10011.62799
Andorra,AND,,,,,,,,,,,3935.411278,4169.695371,4940.296962,6151.02717,7139.574512,7925.415771,7721.288586,8167.922862,9409.508513,11996.40729,12474.92529,10465.26046,9697.52202,8082.09152,7808.130027,7911.984362,10539.11779,12828.15194,14599.03552,15714.92655,19563.65747,19533.26207,20099.53522,15916.83952,15748.53075,18443.25452,19130.15972,18247.99957,18536.50843,18875.28691,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845,49303.67339
Arab World,ARB,,212.8896634,210.8054148,225.8006302,243.897432,256.1801409,263.9508393,276.9329745,307.536801,329.4314226,357.694745,402.795035,470.195593,602.4667481,1124.966817,1205.473817,1458.144006,1630.359824,1728.20571,2251.506021,2954.049197,2911.007872,2640.585787,2417.324592,2357.268909,2247.927457,2042.585585,2108.58586,2042.057616,2117.752624,2875.257142,2048.809755,1996.377565,1987.857714,2018.685785,2081.020689,2193.873309,2305.616061,2192.611888,2378.950491,2664.165796,2536.711965,2483.107234,2696.672305,3133.736877,3750.693517,4355.087622,4940.702265,6091.932064,5134.450061,5928.30536,6894.195368,7362.629909,7351.948113,7311.289969,6262.041685,6012.512444,6066.726791,6668.216728,6638.485415,5722.480995,6681.708952,7931.617893,7479.688091,7521.153309
United Arab Emirates,ARE,,,,,,,,,,,2394.068115,2805.426427,3675.416814,9695.814188,23822.97156,27117.18807,31196.97918,35020.36044,29379.12774,34238.28645,42925.23388,44854.48003,39972.49467,34650.00412,32012.31415,29467.54198,23132.07397,23112.62342,21569.70689,23166.73059,26709.99344,25690.96863,25648.27278,25032.78227,25472.63966,27003.20068,28323.16509,27982.7957,24889.42692,25855.8605,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,43696.67126,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59172,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475,49377.56434
Argentina,ARG,778.2517068,971.3380433,870.2174909,852.9724251,1176.200862,1281.83338,1275.078434,1063.932838,1141.952116,1329.561818,1322.714542,1372.507466,1409.370973,2097.89945,2844.969905,2026.684358,1946.919904,2126.48546,3282.063044,2511.973329,2747.502275,2764.086414,2914.767085,3537.747346,3915.034926,2905.775655,3436.078195,3477.30132,3992.703302,2374.573216,4315.334031,5709.247841,6789.996111,6931.855964,7437.562423,7357.616277,7663.212713,8146.7871,8218.992128,7705.542883,7637.014892,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273,13858.20398
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.3553275,572.7402609,356.35078,347.8706447,390.8799643,443.9248609,487.0686244,505.0358871,590.2399473,582.6698862,593.4505817,659.5889885,742.6511183,882.0301677,1130.087914,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8125.273958,8500.605225
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,1213.670217,1374.820275,1705.14199,2053.103279,2310.196998,2569.181824,2846.993357,3270.78103,3814.314229,4629.456764,5424.368478,6466.156835,7187.904841,7590.754424,7956.474309,8153.737863,8624.620168,9351.487538,9034.475529,9756.08718,10336.25916,10906.87854,11342.33492,12027.49498,11539.18251,11658.69499,12173.23199,13037.88958,14368.57088,16173.81363,18204.5124,18786.67431,16472.24785,15217.39508,14911.72751,15639.80781,15051.51136,15532.10621,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823,17348.6007,20105.19891,21494.5474,23725.79037
Australia,AUS,1810.70643,1877.707064,1854.746154,1967.211274,2131.3803,2281.110305,2343.915919,2580.110592,2724.130672,2991.477279,3304.92737,3495.228201,3949.461643,4770.810172,6482.938481,7003.842471,7486.682604,7775.658469,8252.734457,9294.515783,10208.80368,11853.66942,12779.14592,11515.74451,12421.88077,11441.58197,11392.00439,11651.33012,14284.96079,17834.45269,18249.30145,18859.90746,18624.18773,17699.87649,18129.63531,20448.12197,22021.78391,23646.62305,21479.1142,20712.66978,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52144.66547,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64835.91998,64407.48426
Austria,AUT,939.9148147,1036.728204,1093.014191,1172.557446,1275.457153,1381.077258,1494.049114,1577.141477,1685.662117,1834.078078,2050.705154,2371.65248,2912.595771,3875.483056,4612.619208,5264.91772,5656.145138,6783.951422,8173.329263,9755.404456,10826.97183,9348.488324,9373.488206,9500.050704,8955.848292,9136.170926,13031.8281,16328.5613,17509.76587,17400.52266,21596.06822,22323.13125,24782.71188,23987.20372,25546.24605,30207.06743,29645.94513,26571.75236,27212.46429,27078.70816,24487.29747,24430.49598,26334.86222,32110.11597,36614.25065,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379,56833.19605
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.271893,734.9442328,60.23512054,209.5309545,157.0635499,314.5580191,409.1855438,505.5162042,561.9068079,573.8935287,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7133.02838,7283.83563
