name,abb,year,christian,islam,buddhist,nonrelig,judaism,other,pop
AAB,AAB,1980,53150,600,0,0,0,9250,63000
AAB,AAB,1985,52750,0,0,0,0,11250,64000
AAB,AAB,1990,47650,300,0,1946,0,9459,59355
AAB,AAB,1995,52032,287,0,2831,0,6459,61609
AAB,AAB,2000,56415,274,0,3716,0,3458,63863
AAB,AAB,2005,67920,137,0,4421,0,10522,83000
AAB,AAB,2010,79425,0,0,5127,0,2348,86900
AFG,AFG,1945,210,8391998,1926,347,642,53877,8449000
AFG,AFG,1950,550,8910175,2195,0,549,44531,8958000
AFG,AFG,1955,2418,9658503,2501,0,469,70109,9734000
AFG,AFG,1960,4285,10537389,2807,1187,389,228943,10775000
AFG,AFG,1965,6153,11825320,3113,1506,308,234600,12071000
AFG,AFG,1970,8020,13477012,3419,1825,228,132496,13623000
AFG,AFG,1975,7765,14021540,3607,922680,204,422204,15378000
AFG,AFG,1980,7510,16771500,2700,115787,179,402324,17300000
AFG,AFG,1985,7255,15070645,2700,88000,155,350245,15519000
AFG,AFG,1990,7000,15295070,4169,102000,130,345631,15754000
AFG,AFG,1995,6609,19026255,4357,104000,66,519713,19661000
AFG,AFG,2000,6219,22162133,4544,125000,0,422104,22720000
AFG,AFG,2005,24955,25497000,4012,135000,0,339033,26000000
AFG,AFG,2010,7287,26880000,2500,55000,0,55213,27000000
ALB,ALB,1945,375404,744990,0,301,589,716,1122000
ALB,ALB,1950,410000,799500,0,4997,501,2,1215000
ALB,ALB,1955,434972,857998,0,82740,426,2864,1379000
ALB,ALB,1960,452338,916497,0,241650,351,164,1611000
ALB,ALB,1965,499003,974995,0,392700,275,3027,1870000
ALB,ALB,1970,589599,1033493,0,512640,200,68,2136000
ALB,ALB,1975,701151,1091992,0,607600,255,2,2401000
ALB,ALB,1980,814313,1150490,0,702720,310,2167,2670000
ALB,ALB,1985,881265,1271510,0,797760,307,6158,2957000
ALB,ALB,1990,976398,1367520,0,892800,305,18977,3256000
ALB,ALB,1995,1049187,1948860,0,604338,302,6313,3609000
ALB,ALB,2000,715990,2051467,0,340000,300,5243,3113000
ALB,ALB,2005,837479,1931812,0,345200,299,27210,3142000
ALB,ALB,2010,685221,2013180,0,481586,0,15538,3195525
ALG,ALG,1965,484138,10770700,0,0,25000,643162,11923000
ALG,ALG,1970,108745,13611705,0,0,500,25050,13746000
ALG,ALG,1975,93527,15861508,0,3500,275,59190,16018000
ALG,ALG,1980,78312,18479340,0,7000,50,101298,18666000
ALG,ALG,1985,62710,21631500,0,0,0,155790,21850000
ALG,ALG,1990,128400,24146000,0,720000,600,27000,25022000
ALG,ALG,1995,9000,27208500,0,0,0,842500,28060000
